"Title","Year Recorded","Year Released","Album name","Record Label","Album type","Track number","Song duration","Songwriter(s)","Lead vocal(s)","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence","popularity","duration_ms","Date","Peak  Pos","WoC","WksNo 1","US Cash","US Rec World","AUS[7][61]","UK[5]","US[6]","GER[10]","NLD[12]","FRA","SWI[59]","CAN","POL","Certification"
"MOONLIGHT MILE",1970,"1971","Sticky Fingers","Virgin","Studio","10","05:57","Jagger/Richards","Jagger",0.612,0.39025,0.538,0.0766,0.2375,-6.3095,0.0273,116.524,0.2205,33.5,338206.5,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"MOTHER'S LITTLE HELPER",1965,"1966","Flowers","ABKCO Records",NA,"9","02:47","Jagger/Richards","Jagger",0.037625,0.5905,0.59225,1.97475e-05,0.2845,-9.386,0.0293,101.40275,0.7075,29,165616.25,"/ ","/ ","/ ","/ ","4","4","__","—","8","9","7","24","—","14","__",""
"MR. PITIFUL (LIVE)",2005,"2012","Light the Fuse",NA,NA,NA,NA,"Steve Cropper/Otis Redding","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"MY GIRL",1965,"1967","Flowers","ABKCO Records",NA,"6","02:39","Smokey Robinson/Ronald White","Jagger",0.683,0.5885,0.5715,0.1445,0.3235,-7.8005,0.0357,110.4015,0.7415,24.5,158033,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"MY OBSESSION",1966,"1967","Between the Buttons","ABKCO Records","Studio","8","03:18","Jagger/Richards","Jagger",0.229,0.64575,0.81525,1.6975e-06,0.0621,-9.02775,0.1235,144.04825,0.5715,11.5,196749.5,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"THE NEARNESS OF YOU (LIVE)",2002,"2004","Live Licks","Virgin","Live",NA,NA,"Hoagy Carmichael/Ned Washington","Richards",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"NEIGHBOURS",1980,"1981","Tattoo You","Virgin","Studio","6","03:33","Jagger/Richards","Jagger",0.1359,0.400142857142857,0.956428571428571,0.14986,0.568571428571429,-4.36085714285714,0.125328571428571,128.977428571429,0.535571428571429,18.1428571428571,220391.857142857,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"NEW FACES",1994,"1994","Voodoo Lounge","Virgin","Studio","5","02:51","Jagger/Richards","Jagger",0.357,0.531,0.48,0,0.333,-10.536,0.0268,110.446,0.664,30,171760,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"NO EXPECTATIONS",1968,"1968","Beggars Banquet","ABKCO Records","Studio","2","03:56","Jagger/Richards","Jagger",0.562,0.3875,0.2745,0.010995,0.1215,-12.641,0.0288,137.396,0.287,28,236466.5,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"NO USE IN CRYING",1980,"1981","Tattoo You","Virgin","Studio","10","03:25","Jagger/Richards/Wood","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"NOT FADE AWAY",1964,"1964","Got Live If You Want It!","ABKCO Records / Universal","Live","4","02:04","Buddy Holly/Norman Petty","Jagger",0.143918,0.5255,0.8797,0.4918851,0.665,-8.8467,0.11003,110.3239,0.6981,15.9,174713.8,"04.03. 1964","03","15","00","44","58","__","3","48","—","—","—","—","—","__",""
"NOW I'VE GOT A WITNESS (LIKE UNCLE PHIL AND UNCLE GENE)",1964,"1964","The Rolling Stones (UK)England's Newest Hit Makers (US)",NA,NA,NA,NA,"Nanker Phelge[a]","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"OFF THE HOOK",1964,"1965","The Rolling Stones, Now!","ABKCO Records","Studio","8","02:35","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"OH, BABY (WE GOT A GOOD THING GOING)",1964,"1965","The Rolling Stones, Now!","ABKCO Records","Studio","10","02:09","Barbara Lynn Ozen","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"OH NO, NOT YOU AGAIN",2005,"2005","A Bigger Bang","Virgin","Studio","10","03:46","Jagger/Richards","Jagger",0.12095,0.4195,0.981,0.397,0.6445,-3.2065,0.12035,142.1615,0.374,20.5,248100,"/ ","/ ","/ ","/ ","__","__","__","—","—","—","—","—","—","","—","__"
"ON WITH THE SHOW",1967,"1967","Their Satanic Majesties Request","ABKCO Records","Studio","10","03:39","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"ONE HIT (TO THE BODY)",1985,"1986","Dirty Work","Virgin","Studio","1","04:44","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31.05. 1986","80","02","00","__","__","34","80","28","—","50","—","—","26","—",""
"ONE MORE TRY",1965,"1965","Out of Our Heads","ABKCO Records","Studio","12","01:58","Jagger/Richards","Jagger",0.03425,0.5405,0.7975,0.5585,0.301,-9.475,0.0552,177.8405,0.9395,17.5,118019.5,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"OUT OF CONTROL",1997,"1997","No Security","Virgin","Live","14","07:57","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22.08. 1998","51","02","00","__","__","__","51","—","—","—","—","—","—","12","__"
"OUT OF TEARS",1993,"1994","Voodoo Lounge","Virgin","Studio","7","05:27","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.12. 1994","36","06","00","__","__","__","36","60","—","37","38","—","3","—","__"
"OUT OF TIME",1966,"1966","Flowers","ABKCO Records",NA,"5","03:42","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20.09. 1975","45","02","00","65","88","__","45","81","—","—","—","—","—","__",""
"PAIN IN MY HEART",1964,"1965","The Rolling Stones, Now!","ABKCO Records","Studio","9","02:12","Allen Toussaint (under the pseudonym Naomi Neville)","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"PAINT IT BLACK",1966,"1966","Live Licks","Virgin","Live","3","03:45","Jagger/Richards","Jagger",0.07135975,0.238,0.961375,0.20535145,0.972,-4.674625,0.1243,155.461125,0.27475,20,292546.875,"02.06. 2007","70","11","00","1","1","__","1","1","2","1","8","—","1","__","GER: Gold
UK: 2× Platinum[17]"
"PARACHUTE WOMAN",1968,"1968","Beggars Banquet","ABKCO Records","Studio","4","02:20","Jagger/Richards","Jagger",0.4465,0.5225,0.6155,0.313,0.1335,-8.6235,0.0541,114.041,0.8485,23,140039.5,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"PLAY WITH FIRE",1965,"1965","Out of Our Heads","ABKCO Records","Studio","10","02:15","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"PLEASE GO HOME",1966,"1967","Flowers","ABKCO Records",NA,"8","03:19","Jagger/Richards","Jagger",0.53025,0.5425,0.70775,0.00032815,0.158,-9.36175,0.043475,113.385,0.752,11.25,182343,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
