"Title","Year Recorded","Year Released","Album name","Record Label","Album type","Track number","Song duration","Songwriter(s)","Lead vocal(s)","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence","popularity","duration_ms","Date","Peak  Pos","WoC","WksNo 1","US Cash","US Rec World","AUS[7][61]","UK[5]","US[6]","GER[10]","NLD[12]","FRA","SWI[59]","CAN","POL","Certification"
"19TH NERVOUS BREAKDOWN",1965,"1966","Got Live If You Want It!","ABKCO Records / Universal","Live","8","03:31","Jagger/Richards","Jagger",0.009355,0.311,0.912,1.3e-06,0.909,-7.0005,0.06125,105.332,0.5135,8.5,210833,"/ ","/ ","/ ","/ ","1","2","__","2","2","1","2","19","—","9","__",""
"100 YEARS AGO",1972,"1973","Goats Head Soup","Interscope / Polydor","Studio","2","03:58","Jagger/Richards","Jagger",0.601,0.44025,0.6645,0.3894985,0.384,-6.6945,0.03915,114.74925,0.58225,32.25,219579.75,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"2000 LIGHT YEARS FROM HOME",1967,"1967","Their Satanic Majesties Request","ABKCO Records","Studio","9","04:45","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","—","—","__","—","—","5","3","—","—","—","__",""
"2000 MAN",1967,"1967","Their Satanic Majesties Request","ABKCO Records","Studio","4","03:07","Jagger/Richards","Jagger",0.03518,0.439,0.526666666666667,0.0283866666666667,0.431666666666667,-7.00033333333333,0.0454333333333333,122.101333333333,0.465333333333333,24.3333333333333,187835,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"2120 SOUTH MICHIGAN AVENUE",1964,"1964","12 X 5","ABKCO Records","Studio","7","03:39","Nanker Phelge[a]","instrumental",0.0505733333333333,0.604,0.592666666666667,0.842333333333333,0.0949666666666667,-12.1273333333333,0.0322333333333333,145.707666666667,0.794333333333333,15.6666666666667,221577.333333333,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"AFTERMATH",1965,NA,"bootleg recording/outtake","/","/","/","/","Nanker Phelge[a]","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"AIN'T TOO PROUD TO BEG",1973,"1974","It's Only Rock 'n' Roll","Virgin",NA,"2","03:30","Norman Whitfield/Eddie Holland","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","15","23","__","—","17","—","—","11","—","14","__",""
"ALL ABOUT YOU",1979,"1980","Emotional Rescue","Universal","Studio","10","04:17","Jagger/Richards","Richards",0.3165,0.6175,0.333,0.014105,0.147,-11.3695,0.02635,87.0735,0.2125,21.5,258099.5,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"ALL DOWN THE LINE",1972,"1972","Exile on Main St.","Virgin","Studio","15","03:50","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","77","—","__","—","—","—","—","—","—","—","__",""
"ALL OF YOUR LOVE",2015,"2016","Blue & Lonesome","Interscope / Polydor","Studio","4","04:46","Magic Sam","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"ALL SOLD OUT",1966,"1967","Between the Buttons","ABKCO Records","Studio","7","02:18","Jagger/Richards","Jagger",0.47125,0.64325,0.69825,6.64e-05,0.12765,-9.12575,0.038025,116.13625,0.806,10.25,152549.5,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"ALL THE WAY DOWN",1982,"1983","Undercover","Universal","Studio","9","03:14","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"ALMOST HEAR YOU SIGH",1989,"1989","Steel Wheels","Virgin","Studio","9","04:37","Jagger/Richards/Jordan","Jagger",0.383,0.6865,0.6875,0.0027515,0.05105,-7.748,0.02385,102.4035,0.7605,34.5,277333,"30.06. 1990","31","05","00","__","__","—","31","50","58","11","—","—","14","5",""
"ALREADY OVER ME",1997,"1997","Bridges to Babylon","Virgin","Studio","4","05:24","Jagger/Richards","Jagger",0.1285,0.482,0.4755,0.0002485,0.42,-6.1585,0.0255,73.721,0.1785,25,324266,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"ALWAYS SUFFERING",1997,"1997","Bridges to Babylon","Virgin","Studio","10","04:43","Jagger/Richards","Jagger",0.21,0.315,0.499,4.515e-06,0.1945,-8.4215,0.03145,176.72,0.1685,22,283820,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"AND MR. SPECTOR AND MR. PITNEY CAME TOO",1964,NA,"bootleg recording/outtake","/","/","/","/","Nanker Phelge[a]/Phil Spector","instrumental",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"ANDREW'S BLUES (SONG FOR ANDREW)",1964,NA,"bootleg recording/outtake","/","/","/","/","Nanker Phelge","Gene Pitney",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"ANGIE",1972,"1973","Goats Head Soup","Interscope / Polydor","Studio","5","04:32","Jagger/Richards","Jagger",0.459133333333333,0.3894,0.650333333333333,5.72993333333333e-05,0.538133333333333,-7.5606,0.0480066666666667,117.602533333333,0.400866666666667,27.6666666666667,245870.866666667,"01.09. 1973","05","10","00","1","1","__","5","1","2","1","1","1","1","__","RIAA: Gold[60]
ITA: Gold
UK: Silver[17]"
"ANYBODY SEEN MY BABY?",1997,"1997","Bridges to Babylon","Virgin","Studio","2","04:31","Jagger/Richards/Lang/Mink","Jagger",0.0847033333333333,0.568,0.761333333333333,0.000677666666666667,0.405,-5.08266666666667,0.0469,107.39,0.462,44.3333333333333,287128.666666667,"04.10. 1997","22","03","00","__","__","__","22","—","24","25","—","26","1","1","__"
"ANYWAY YOU LOOK AT IT",1997,"1998","B-side of ""Saint of Me""Rarities 1971–2003",NA,NA,NA,NA,"Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"AROUND AND AROUND",1964,"1964","12 X 5","ABKCO Records","Studio","1","03:04","Chuck Berry","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"AS TEARS GO BY",1965,"1965","December's Children (And Everybody's)","ABKCO Records","Studio","9","02:46","Jagger/Richards/Loog Oldham","Jagger",0.7295,0.343,0.2785,0.00498,0.1745,-11.033,0.0294,113.0475,0.373,38.5,165239.5,"/ ","/ ","/ ","/ ","3","6","__","—","6","8","—","22","—","1","__",""
"BABY BREAK IT DOWN",1994,"1994","Voodoo Lounge","Virgin","Studio","13","04:09","Jagger/Richards","Jagger",0.0859,0.427,0.756,2.97e-06,0.137,-5.732,0.0362,199.393,0.745,27,248226,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"BACK OF MY HAND",2004,"2005","A Bigger Bang","Virgin","Studio","6","03:32","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"BACK STREET GIRL",1966,"1967","Flowers","ABKCO Records",NA,"7","03:26","Jagger/Richards","Jagger",0.0184,0.46925,0.2465,0,0.09565,-12.84875,0.027175,115.86275,0.527,15.25,206889.75,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"BACK TO ZERO",1985,"1986","Dirty Work","Virgin","Studio","7","04:00","Jagger/Richards/Leavell","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"BEAST OF BURDEN",1977,"1978","Some Girls","Universal","Studio","9","04:25","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","7","11","__","—","8","—","—","—","—","9","__",""
"BEFORE THEY MAKE ME RUN",1978,"1978","Some Girls","Universal","Studio","8","03:24","Jagger/Richards","Richards",0.313285714285714,0.442428571428571,0.937857142857143,0.00753894285714286,0.563142857142857,-4.25242857142857,0.127342857142857,133.413571428571,0.584857142857143,18.1428571428571,237516.714285714,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"BIGGEST MISTAKE",2004,"2005","A Bigger Bang","Virgin","Studio","8","04:06","Jagger/Richards","Jagger",0.197,0.563,0.861,0,0.231,-3.343,0.0325,113.98,0.807,26,245466,"02.09. 2006","51","02","00","__","__","__","51","—","94","77","—","—","","—","__"
"BITCH",1970,"1971","Sticky Fingers","Virgin","Studio","6","03:37","Jagger/Richards","Jagger",0.175743333333333,0.494083333333333,0.962083333333333,0.185158333333333,0.4775,-3.62916666666667,0.0800833333333333,132.944166666667,0.719333333333333,23,273187.416666667,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"BLACK LIMOUSINE",1980,"1981","Tattoo You","Virgin","Studio","5","03:33","Jagger/Richards/Wood","Jagger",0.144966666666667,0.4425,0.907166666666667,0.289161666666667,0.774333333333333,-4.746,0.10035,112.608,0.727166666666667,20.5,220601.833333333,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"BLINDED BY LOVE",1989,"1989","Steel Wheels","Virgin","Studio","6","04:36","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"BLINDED BY RAINBOWS",1994,"1994","Voodoo Lounge","Virgin","Studio","12","04:33","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"BLOOD RED WINE",1968,NA,"bootleg recording/outtake","/","/","/","/","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"BLUE AND LONESOME",2015,"2016","Blue & Lonesome","Interscope / Polydor","Studio","3","03:07","Memphis Slim","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"BLUE TURNS TO GREY",1965,"1965","December's Children (And Everybody's)","ABKCO Records","Studio","11","02:29","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"BRAND NEW CAR",1994,"1994","Voodoo Lounge","Virgin","Studio","9","04:15","Jagger/Richards","Jagger",0.0117,0.646,0.795,0.000627,0.395,-6.344,0.0532,118.891,0.773,29,254000,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"BREAK THE SPELL",1989,"1989","Steel Wheels","Virgin","Studio","11","03:07","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"BROWN SUGAR",1969,"1971","Sticky Fingers","Virgin","Studio","1","03:49","Jagger/Richards","Jagger",0.106866516129032,0.410193548387097,0.957064516129032,0.14844715483871,0.748051612903226,-4.36112903225806,0.0875870967741935,138.286064516129,0.494432258064516,20.2258064516129,294050.290322581,"14.07. 1984","58","04","00","2","1","__","2","1","4","1","2","1","1","__","UK: Gold[17]"
"BYE BYE JOHNNY",1963,"1964","The Rolling Stones (EP) (UK)More Hot Rocks (Big Hits & Fazed Cookies) (US)",NA,NA,NA,NA,"Chuck Berry","Jagger",0.00523,0.367,0.872,1.31e-05,0.9,-5.331,0.0725,76.626,0.616,21,271853,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"CAN I GET A WITNESS",1964,"1964","The Rolling Stones (UK)England's Newest Hit Makers (US)",NA,NA,NA,NA,"Holland/Dozier/Holland","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"CAN YOU HEAR THE MUSIC",1973,"1973","Goats Head Soup","Interscope / Polydor","Studio","9","05:31","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"CAN'T BE SEEN",1989,"1989","Flashpoint","Virgin","Live","9","04:17","Jagger/Richards","Richards",0.035575,0.41675,0.959,0.00431525,0.54725,-6.31325,0.064625,149.09325,0.71825,18.75,253523,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"CAN'T YOU HEAR ME KNOCKING",1970,"1971","Sticky Fingers","Virgin","Studio","4","07:16","Jagger/Richards","Jagger",0.260888888888889,0.484333333333333,0.824777777777778,0.283733333333333,0.501288888888889,-5.24888888888889,0.0422444444444444,149.326666666667,0.714222222222222,29.1111111111111,447761.222222222,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"CAROL",1964,"1964","Get Yer Ya-Ya's Out!","ABKCO Records","Live","2","03:46","Chuck Berry","Jagger",0.237571428571429,0.584714285714286,0.904714285714286,0.185643428571429,0.575728571428571,-8.72742857142857,0.0459285714285714,121.872,0.948,19,184818.714285714,"/ ","/ ","/ ","/ ","—","—","__","—","—","—","—","9","—","—","__",""
"CASINO BOOGIE",1971,"1972","Exile on Main St.","Virgin","Studio","4","03:34","Jagger/Richards","Jagger, Richards",0.374,0.53,0.691,0.111,0.29,-5.409,0.0307,117.046,0.581,24.6666666666667,214466,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"CHAMPAGNE AND REEFER (LIVE)",2006,"2008","Shine a Light","Interscope","Live","10","05:58","Muddy Waters","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"CHERRY OH BABY",1975,"1976","Black and Blue","Virgin","Studio","3","03:56","Eric Donaldson","Jagger",0.215,0.8315,0.3555,0.008885,0.0439,-11.329,0.12985,144.1135,0.963,27,233620,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"CHILD OF THE MOON",1968,"1968","More Hot Rocks (Big Hits & Fazed Cookies)",NA,NA,NA,NA,"Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"CITADEL",1967,"1967","Their Satanic Majesties Request","ABKCO Records","Studio","2","02:50","Jagger/Richards","Jagger",0.0403333333333333,0.274666666666667,0.641333333333333,0.00011562,0.0972666666666667,-8.36933333333333,0.0378333333333333,114.35,0.586666666666667,23.6666666666667,170902,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"COME ON",1963,"1963","Big Hits (High Tide and Green Grass) (UK) More Hot Rocks (Big Hits & Fazed Cookies) (US)",NA,NA,NA,NA,"Chuck Berry","Jagger",0.0156,0.403,0.643,1.24e-05,0.266,-10.393,0.0424,170.037,0.847,14,122986,"31.07. 1963","21","14","00","—","—","__","21","—","—","—","—","—","—","__",""
"COMING DOWN AGAIN",1972,"1973","Goats Head Soup","Interscope / Polydor","Studio","3","05:54","Jagger/Richards","Richards",0.819,0.468333333333333,0.375333333333333,0.737666666666667,0.108,-9.945,0.0274,72.1543333333333,0.372666666666667,23.6666666666667,354137.333333333,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"COMMIT A CRIME",2015,"2016","Blue & Lonesome","Interscope / Polydor","Studio","2","03:38","Howlin' Wolf","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"COMPLICATED",1966,"1967","Between the Buttons","ABKCO Records","Studio","10","03:16","Jagger/Richards","Jagger",0.14925,0.6335,0.67875,8.535e-05,0.111,-12.3555,0.036675,146.19725,0.818,11.75,194916.25,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"CONFESSIN' THE BLUES",1964,"1964","12 X 5","ABKCO Records","Studio","2","02:48","Jay McShann/Walter Brown","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"CONGRATULATIONS",1964,"1964","12 X 5","ABKCO Records","Studio","9","02:29","Jagger/Richards","Jagger",0.172,0.499,0.571,0.01428,0.1775,-9.2835,0.0676,147.866,0.655,15.5,148813,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"CONNECTION",1966,"1967","Between the Buttons","ABKCO Records","Studio","4","02:10","Jagger/Richards","Jagger, Richards",0.190871428571429,0.447571428571429,0.785285714285714,3.72571428571429e-05,0.519571428571429,-9.64071428571429,0.112157142857143,144.004428571429,0.442571428571429,12.7142857142857,193296.714285714,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"CONTINENTAL DRIFT",1989,"1989","Flashpoint","Virgin","Live","1","00:28","Jagger/Richards","Jagger",0.05395,0.32025,0.76475,0.5375,0.48675,-15.13625,0.049075,117.5755,0.48025,9.25,170989.5,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"COOK COOK BLUES",1989,"1989","The Singles 1971–2006",NA,NA,NA,NA,"Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"COOL, CALM & COLLECTED",1966,"1967","Between the Buttons","ABKCO Records","Studio","6","04:19","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"CORINNA (LIVE)",1997,"1998","No Security","Virgin","Live",NA,NA,"Taj Mahal/Jesse Ed Davis III","Jagger, Taj Mahal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"COUNTRY HONK",1969,"1969","Let It Bleed","ABKCO Records","Studio","3","03:07","Jagger/Richards","Jagger",0.642,0.530666666666667,0.766333333333333,1.01666666666667e-05,0.311666666666667,-10.8156666666667,0.0511333333333333,121.013333333333,0.874666666666667,29,187595,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"CRACKIN' UP (LIVE)",1977,"1977","Love You Live","Virgin","Live",NA,NA,"Bo Diddley","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"CRAZY MAMA",1975,"1976","Black and Blue","Virgin","Studio","8","04:35","Jagger/Richards","Jagger",0.152266666666667,0.421666666666667,0.858333333333333,0.0166333333333333,0.526333333333333,-6.4,0.0356,114.319666666667,0.727,26,282879.666666667,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"CRUSHED PEARL",1985,NA,"bootleg recording/outtake","/","/","/","/","Jagger/Richards","Richards",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"CRY TO ME",1965,"1965","Out of Our Heads","ABKCO Records","Studio","8","03:09","Bert Berns","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"DANCE (PT. 1)",1979,"1980","Emotional Rescue","Universal","Studio","1","04:23","Jagger/Richards/Wood","Jagger",0.333,0.748,0.834,0.518,0.0582,-8.281,0.033,107.428,0.925,19,263200,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"DANCE LITTLE SISTER",1974,"1974","It's Only Rock 'n' Roll","Virgin",NA,"7","04:11","Jagger/Richards","Jagger",0.0239786666666667,0.424,0.924333333333333,0.214533333333333,0.453333333333333,-6.508,0.0800333333333333,153.307333333333,0.848666666666667,29,265124,"/ ","/ ","/ ","/ ","—","—","__","—","—","—","—","19","—","—","__",""
"DANCING WITH MR. D",1972,"1973","Goats Head Soup","Interscope / Polydor","Studio","1","04:52","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"DEAD FLOWERS",1969,"1971","Sticky Fingers","Virgin","Studio","9","04:05","Jagger/Richards","Jagger",0.25649375,0.478,0.89275,0.000817174375,0.6669375,-5.9904375,0.05066875,134.4380625,0.7225625,23,256764.5,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"DEAR DOCTOR",1968,"1968","Beggars Banquet","ABKCO Records","Studio","3","03:22","Jagger/Richards","Jagger",0.12215,0.6005,0.451,8.05e-06,0.173,-8.5105,0.03125,126.3085,0.4415,22.5,201773,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"DEEP LOVE",1985,NA,"bootleg recording/outtake","/","/","/","/","Jagger/Richards","Richards",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"DIRTY WORK",1985,"1986","Dirty Work","Virgin","Studio","8","03:53","Jagger/Richards/Wood","Jagger",0.07715,0.4305,0.974,0.005045,0.08555,-4.0375,0.178,175.247,0.6305,18,232866,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"DONCHA BOTHER ME",1965,"1966","Aftermath","ABKCO Records","Studio","5","02:34","Jagger/Richards","Jagger",0.559666666666667,0.549333333333333,0.820666666666667,0.00542333333333333,0.109666666666667,-11.156,0.0576,123.214,0.795,20,161168.666666667,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"DON'T YOU LIE TO ME",1964,"1975","Metamorphosis",NA,"Compilation",NA,NA,"Tampa Red","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"DOO DOO DOO DOO DOO (HEARTBREAKER)",1972,"1973","Goats Head Soup","Interscope / Polydor","Studio","4","03:26","Jagger/Richards","Jagger",0.135305,0.437375,0.810125,0.26089475,0.451675,-6.736875,0.0728125,115.0595,0.53875,25.25,227165.75,"/ ","/ ","/ ","/ ","10","11","__","—","15","—","—","—","—","5","__",""
"DOWN HOME GIRL",1964,"1965","The Rolling Stones, Now!","ABKCO Records","Studio","2","04:13","Jerry Leiber/Artie Butler","Jagger",0.617,0.663,0.782666666666667,0.669,0.0894,-8.16366666666667,0.0269333333333333,115.796,0.841666666666667,17.3333333333333,251737.333333333,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"DOWN IN THE HOLE",1979,"1980","Emotional Rescue","Universal","Studio","7","03:58","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"DOWN THE ROAD A PIECE",1964,"1965","The Rolling Stones, Now!","ABKCO Records","Studio","7","02:56","Don Raye","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"DOWNTOWN SUZIE",1968,"1975","Metamorphosis",NA,"Compilation",NA,NA,"Bill Wyman","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"DRIVING TOO FAST",2005,"2005","A Bigger Bang","Virgin","Studio","15","03:56","Jagger/Richards","Jagger",0.0211,0.472,0.978,0,0.268,-2.529,0.0937,142.332,0.657,21,236506,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"EACH AND EVERYDAY OF THE YEAR",1964,"1975","Metamorphosis",NA,"Compilation",NA,NA,"Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"EMOTIONAL RESCUE",1979,"1980","Emotional Rescue","Universal","Studio","8","05:39","Jagger/Richards","Jagger",0.107133333333333,0.683666666666667,0.574333333333333,0.100233333333333,0.0395666666666667,-6.65233333333333,0.0701,113.531,0.805333333333333,35.6666666666667,339746.666666667,"05.07. 1980","09","08","00","__","__","8","9","3","15","5","15","11","1","—",""
"EMPTY HEART",1964,"1964","12 X 5","ABKCO Records","Studio","3","02:38","Nanker Phelge[a]","Jagger",0.007775,0.501,0.678,0,0.0812,-10.3775,0.03765,140.6015,0.957,14,156959.5,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"EVERYBODY KNOWS ABOUT MY GOOD THING",2015,"2016","Blue & Lonesome","Interscope / Polydor","Studio","6","04:30","Miles Grayson/Lermon Horton","Jagger",0.248,0.28,0.84,0.228,0.366,-3.497,0.0728,199.771,0.476,31,270826,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"EVERYBODY NEEDS SOMEBODY TO LOVE",1964,"1965","The Rolling Stones, Now!","ABKCO Records","Studio","1","03:00","Jerry Wexler/Bert Berns/Solomon Burke","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"EVERYTHING IS TURNING TO GOLD",1978,"1981","Sucking in the Seventies",NA,"Compilation",NA,NA,"Jagger/Richards/Wood","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"EXILE ON MAIN STREET BLUES",1972,"1972","promotional song",NA,NA,NA,NA,"Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"FACTORY GIRL",1968,"1968","Beggars Banquet","ABKCO Records","Studio","9","02:09","Jagger/Richards","Jagger",0.28025,0.44075,0.663,0.007100305,0.52175,-8.23475,0.039875,134.188,0.61,18.25,148332.75,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"FAMILY",1968,"1975","Metamorphosis",NA,"Compilation",NA,NA,"Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
